pod_name,node_name,node_group,namespace,owner_kind,owner_name,req_cpu_milli_core,req_mem_byte,limit_cpu_mili_core,limit_mem_bytes
ca443f4ae70b721da635dc4efefc178c,ip-172-29-34-112.ec2.internal,1,monitoring,DaemonSet,1b8f17886efd6187794d337db78af4f0,0,0,0,0
6de569cdcc3183b61eb64fdb138871a9,ip-172-29-32-56.ec2.internal,1,monitoring,DaemonSet,d04412633b8bee500329d7fbbc47561c,100,104857600,0,209715200
429850017a4364d4f406b1201eeab18a,ip-172-29-33-110.ec2.internal,1,monitoring,DaemonSet,bdb7d6c8c035870574be8cbb114c876c,20,67108864,100,134217728
5a94bc17656aeb7de948829a37d5321d,ip-172-29-33-110.ec2.internal,1,kube-system,DaemonSet,f4928ee7ea1ab0b3ae6cae5224c5cc14,250,0,0,0
238fb02908f2d613ac7a2dc752d75c2f,ip-172-29-34-225.ec2.internal,1,monitoring,DaemonSet,1ac15354847d26be4cfecfb4de789729,0,0,0,0
67470ab23f5b04e771dea1ab06e2e3e6,ip-172-29-32-104.ec2.internal,1,monitoring,DaemonSet,1b8f17886efd6187794d337db78af4f0,0,0,0,0
32c4d8983558e68d1e00858860eb79b1,ip-172-29-32-70.ec2.internal,1,staging,ReplicaSet,5bd1d800d3877fd1bf0aeec55460e694,50,1572864000,0,0
1d1183009f6114da1f354423faa0cbef,ip-172-29-33-110.ec2.internal,1,staging,ReplicaSet,c3b8c9ba2599138aa4789e3aa6e62650,50,1073741824,0,0
8f4984fd06e10e37043529ce2165a755,ip-172-29-32-214.ec2.internal,4,monitoring,DaemonSet,1b8f17886efd6187794d337db78af4f0,0,0,0,0
fc7b5aa9d060e75134e46405cf76bb45,ip-172-29-43-114.ec2.internal,0,monitoring,DaemonSet,57eb891f0731d873968a2a4e1cda50fd,20,67108864,100,134217728
ac70909311ed15a29fd336372dbcd000,ip-172-29-35-149.ec2.internal,1,monitoring,DaemonSet,bdb7d6c8c035870574be8cbb114c876c,20,67108864,100,134217728
518ee95302fc2ced3b27d965d0c146f0,ip-172-29-34-166.ec2.internal,0,monitoring,DaemonSet,86cd8075b192703711163a58803ee2f7,0,0,0,0
a88df94b1ef5cf7c15b628d3d567f3ee,ip-172-29-34-115.ec2.internal,1,gaia-full-test-set8-k8s-40,ReplicaSet,89807651e64e0e0ee15b86a425bfca60,50,536870912,0,0
22fecf1087b31b6395c53696fe808d9b,ip-172-29-35-237.ec2.internal,1,staging,ReplicaSet,6ea888da31358240a32b8b620ffa5c05,150,2684354560,0,0
20019813076d7f4a2d466f3ce12d02d8,ip-172-29-35-118.ec2.internal,1,kube-system,DaemonSet,ea11065c99d9485fc7fe03aa1b668c20,0,0,0,0
183b951e96dd77fb255afbaccd075c4a,ip-172-29-34-18.ec2.internal,1,monitoring,DaemonSet,1ac15354847d26be4cfecfb4de789729,0,0,0,0
b23927f8edd7613e1f836828cad74931,ip-172-29-32-189.ec2.internal,1,kube-system,DaemonSet,ea11065c99d9485fc7fe03aa1b668c20,0,0,0,0
2c120d90d8c6a00cea20d3e3fcc7b4ee,ip-172-29-33-76.ec2.internal,1,kube-system,DaemonSet,ea11065c99d9485fc7fe03aa1b668c20,0,0,0,0
c745a4664cf299cca62e3e5a14528594,ip-172-29-34-118.ec2.internal,1,staging,ReplicaSet,d2b6dc72251634ef6a34d3f679796610,1100,4831838208,0,0
f7408d3d6f066a9a48ee8add06a5f703,ip-172-29-35-206.ec2.internal,1,staging,ReplicaSet,e452cf3ce92bdd1b12f519174e4d3311,100,536870912,0,0
f487540786a55a6c9eaf256f58419faf,ip-172-29-33-68.ec2.internal,1,monitoring,DaemonSet,bdb7d6c8c035870574be8cbb114c876c,20,67108864,100,134217728
692141f2763d4943cf2db332364e4dba,ip-172-29-34-106.ec2.internal,1,monitoring,DaemonSet,d04412633b8bee500329d7fbbc47561c,100,104857600,0,209715200
1c63e2bcb4164ccdc1fefea594216206,ip-172-29-35-252.ec2.internal,1,staging,ReplicaSet,a26a0b2e6be2a80b7e3d02be1858b54d,50,3145728000,0,0
780f58f89915cb8571894db392611d0f,ip-172-29-32-163.ec2.internal,1,monitoring,DaemonSet,86cd8075b192703711163a58803ee2f7,0,0,0,0
4b303cadea0c49723636c3889d873a1a,ip-172-29-33-76.ec2.internal,1,monitoring,DaemonSet,86cd8075b192703711163a58803ee2f7,0,0,0,0
a15a4a1d8d7c3d292797ec8e33e7cd5e,ip-172-29-34-225.ec2.internal,1,monitoring,DaemonSet,1b8f17886efd6187794d337db78af4f0,0,0,0,0
40dc66d3d2fbf9d3a2f5074a4886bb84,ip-172-29-35-125.ec2.internal,1,monitoring,DaemonSet,1ac15354847d26be4cfecfb4de789729,0,0,0,0
c6726989cf08f2829b76adfa6dfbfe84,ip-172-29-35-206.ec2.internal,1,staging,ReplicaSet,7acb8f6de36bbaf14b0eade0e7e789ca,700,4194304000,0,0
6251f97ad053dff519a78d65dbee2378,ip-172-29-32-79.ec2.internal,1,monitoring,DaemonSet,57eb891f0731d873968a2a4e1cda50fd,20,67108864,100,134217728
8e0bbc74c2790312126d7be72951e79c,ip-172-29-32-189.ec2.internal,1,monitoring,DaemonSet,bdb7d6c8c035870574be8cbb114c876c,20,67108864,100,134217728
21c9554f31cfbe9151805992729708d2,ip-172-29-35-83.ec2.internal,1,staging,ReplicaSet,fee320ad66d12c34f8e0a0265e36862b,50,1073741824,0,0
15a2519131d8f239ccd364b7ab701039,ip-172-29-32-147.ec2.internal,1,staging,ReplicaSet,73fe5a4ef306c0f18499f255cc74da36,50,786432000,0,0
9b528843d26253c8a9a6070bc26e47a6,ip-172-29-34-106.ec2.internal,1,monitoring,DaemonSet,1b8f17886efd6187794d337db78af4f0,0,0,0,0
0ef73d8c7074c29ea418ba552227166c,ip-172-29-33-100.ec2.internal,1,monitoring,DaemonSet,86cd8075b192703711163a58803ee2f7,0,0,0,0
4bd1a3f4ec15ec0a68e227a659cab281,ip-172-29-32-214.ec2.internal,4,staging,ReplicaSet,bf326652d140065fe2eae94a3ce01c92,0,0,0,0
8712c0fbaa2c0d310d9836dbe9b5f52c,ip-172-29-32-207.ec2.internal,1,monitoring,DaemonSet,57eb891f0731d873968a2a4e1cda50fd,20,67108864,100,134217728
ec3447a8e24f185cd6f15f8c0b62ba2b,ip-172-29-34-36.ec2.internal,1,monitoring,DaemonSet,1ac15354847d26be4cfecfb4de789729,0,0,0,0
09c39f705d75d9a758b57a6634193283,ip-172-29-34-106.ec2.internal,1,monitoring,DaemonSet,86cd8075b192703711163a58803ee2f7,0,0,0,0
4ab9f7325924c1a9330c7bd29457a636,ip-172-29-34-223.ec2.internal,1,monitoring,DaemonSet,d04412633b8bee500329d7fbbc47561c,100,104857600,0,209715200
5bc5998f1e5d715f9bb3d3f0452e1137,ip-172-29-34-119.ec2.internal,1,kube-system,ReplicaSet,274eb37584c99bc6da6cfc8a7d93cc08,100,73400320,0,178257920
cdacd4f7ee742e4080120f83fa729a61,ip-172-29-35-52.ec2.internal,1,staging,ReplicaSet,bc38cb567949f9e993d175862b5a8b51,700,4194304000,0,0
39668e12b870e032cc08c306be6f05a8,ip-172-29-33-10.ec2.internal,1,monitoring,DaemonSet,bdb7d6c8c035870574be8cbb114c876c,20,67108864,100,134217728
abe26595b8802eefce65e5a19ed687a2,ip-172-29-33-68.ec2.internal,1,staging,ReplicaSet,55bfe95d7c6aaddd8b2f1090f4890511,50,1572864000,0,0
175860b75d095ab9f4d26f56d27b0f80,ip-172-29-32-152.ec2.internal,1,staging,ReplicaSet,096ef41ac5a790fb0184f2d989bb22ff,700,4194304000,0,0
743946a75a29aa13103abc264d993e72,ip-172-29-43-114.ec2.internal,0,monitoring,DaemonSet,1ac15354847d26be4cfecfb4de789729,0,0,0,0
